🚀 Supporter DB Server on http://localhost:8777
   Database: /root/supporter-db/supporters.db
   Records: 65591
   Press Ctrl+C to stop
[22:46:54] POST /api/auth/login HTTP/1.1
[22:46:54] GET /api/admin/users HTTP/1.1
[22:46:54] GET /api/admin/today HTTP/1.1
[22:46:54] GET /api/admin/daily-activity HTTP/1.1
[22:46:54] GET /api/admin/team HTTP/1.1
[22:46:54] GET /api/admin/canvasser-stats?start=2026-07-04&end=2026-07-04 HTTP/1.1
[22:55:34] POST /api/auth/login HTTP/1.1
[22:55:34] GET /api/admin/users HTTP/1.1
[22:55:34] GET /api/admin/today HTTP/1.1
[22:55:34] GET /api/admin/daily-activity HTTP/1.1
[22:55:34] GET /api/admin/canvasser-stats?start=2026-07-04&end=2026-07-04 HTTP/1.1
[22:55:34] GET /api/admin/team HTTP/1.1
[22:56:04] POST /api/auth/logout HTTP/1.1
[02:45:43] GET /api/my-stats HTTP/1.1
[02:45:59] POST /api/auth/login HTTP/1.1
[02:45:59] GET /api/my-stats HTTP/1.1
[02:46:21] GET /api/search?q=64&limit=25&offset=0 HTTP/1.1
[02:46:28] GET /api/search?q=64&limit=25&offset=0 HTTP/1.1
[02:46:28] GET /api/search?q=64%20a&limit=25&offset=0 HTTP/1.1
[02:46:29] GET /api/search?q=64%20any&limit=25&offset=0 HTTP/1.1
[02:46:40] GET /api/search?q=78&limit=25&offset=0 HTTP/1.1
[02:46:40] GET /api/search?q=78&limit=25&offset=0 HTTP/1.1
[02:46:41] GET /api/search?q=78%20r&limit=25&offset=0 HTTP/1.1
[02:46:42] GET /api/search?q=78%20ro&limit=25&offset=0 HTTP/1.1
[02:46:42] GET /api/search?q=78%20rot&limit=25&offset=0 HTTP/1.1
[02:46:43] GET /api/search?q=78%20rotary&limit=25&offset=0 HTTP/1.1
[02:46:43] GET /api/search?q=78%20rotary&limit=25&offset=0 HTTP/1.1
[02:46:44] GET /api/search?q=78%20rotary%20dr&limit=25&offset=0 HTTP/1.1
[02:46:46] GET /api/search?q=78%20rotary&limit=25&offset=0 HTTP/1.1
[03:14:43] GET /api/my-stats HTTP/1.1
[03:22:15] GET /api/my-stats HTTP/1.1
[03:22:24] POST /api/auth/login HTTP/1.1
[03:22:24] GET /api/my-stats HTTP/1.1
[03:22:30] GET /api/search?q=61&limit=25&offset=0 HTTP/1.1
[03:22:31] GET /api/search?q=6175&limit=25&offset=0 HTTP/1.1
[03:22:31] GET /api/search?q=6175&limit=25&offset=0 HTTP/1.1
[03:22:33] GET /api/search?q=6175&limit=25&offset=0 HTTP/1.1
[03:22:34] GET /api/search?q=6175%20%20kin&limit=25&offset=0 HTTP/1.1
[03:22:36] GET /api/search?q=6175%20%20kingston&limit=25&offset=0 HTTP/1.1
[03:22:49] GET /api/search?q=6175%20%20king&limit=25&offset=0 HTTP/1.1
[03:22:51] GET /api/search?q=6175&limit=25&offset=0 HTTP/1.1
[03:22:51] GET /api/search?q=6175&limit=25&offset=0 HTTP/1.1
[03:22:51] GET /api/search?q=617&limit=25&offset=0 HTTP/1.1
[03:22:51] GET /api/search?q=61&limit=25&offset=0 HTTP/1.1
[03:22:53] GET /api/search?q=6157&limit=25&offset=0 HTTP/1.1
[03:22:54] GET /api/search?q=6157&limit=25&offset=0 HTTP/1.1
[03:22:55] GET /api/search?q=6157%20kin&limit=25&offset=0 HTTP/1.1
[03:22:55] GET /api/search?q=6157%20king&limit=25&offset=0 HTTP/1.1
[03:22:58] GET /api/search?q=6157%20kings&limit=25&offset=0 HTTP/1.1
[03:22:58] GET /api/search?q=6157%20kingst&limit=25&offset=0 HTTP/1.1
[03:22:59] GET /api/search?q=6157%20kingston&limit=25&offset=0 HTTP/1.1
[03:23:26] GET /api/search?q=6157%20king&limit=25&offset=0 HTTP/1.1
[03:23:28] GET /api/search?q=6157%20kin&limit=25&offset=0 HTTP/1.1
[03:23:29] GET /api/search?q=6157%20ki&limit=25&offset=0 HTTP/1.1
[03:23:29] GET /api/search?q=6157%20k&limit=25&offset=0 HTTP/1.1
[03:23:30] GET /api/search?q=6157&limit=25&offset=0 HTTP/1.1
[03:24:14] GET /api/search?q=6157&limit=25&offset=25 HTTP/1.1
[16:57:59] GET /api/my-stats HTTP/1.1
[16:58:11] POST /api/auth/login HTTP/1.1
[16:58:20] POST /api/auth/login HTTP/1.1
[16:58:34] POST /api/auth/login HTTP/1.1
[16:58:34] GET /api/my-stats HTTP/1.1
[17:17:18] GET /api/my-stats HTTP/1.1
[17:17:31] POST /api/auth/login HTTP/1.1
[17:17:31] GET /api/my-stats HTTP/1.1
[17:17:48] GET /api/my-stats HTTP/1.1
[17:17:50] GET /api/my-stats HTTP/1.1
[17:17:59] GET /api/my-stats HTTP/1.1
[17:18:09] POST /api/auth/login HTTP/1.1
[17:18:32] POST /api/auth/login HTTP/1.1
[17:18:32] GET /api/my-stats HTTP/1.1
[17:18:59] GET /api/search?q=79&limit=25&offset=0 HTTP/1.1
[17:20:22] POST /api/auth/login HTTP/1.1
[17:20:22] GET /api/admin/users HTTP/1.1
[17:20:22] GET /api/admin/today HTTP/1.1
[17:20:23] GET /api/admin/canvasser-stats?start=2026-07-05&end=2026-07-05 HTTP/1.1
[17:20:23] GET /api/admin/daily-activity HTTP/1.1
[17:20:23] GET /api/admin/team HTTP/1.1
[17:21:26] GET /api/admin/export-db?token=cb0ba73d6cb82bbb333b9a32cd61aff139eafbb66c32de1ede485f8d4071eb94 HTTP/1.1
[17:22:00] GET /api/my-stats HTTP/1.1
[17:22:08] POST /api/auth/login HTTP/1.1
[17:22:08] GET /api/my-stats HTTP/1.1
[17:22:29] GET /api/search?q=64&limit=25&offset=0 HTTP/1.1
[17:22:30] GET /api/search?q=64%20ro&limit=25&offset=0 HTTP/1.1
[17:22:32] GET /api/search?q=64%20rot&limit=25&offset=0 HTTP/1.1
[17:22:41] GET /api/supporter/65590/history HTTP/1.1
[17:22:52] PATCH /api/supporter/65590/touch HTTP/1.1
[17:25:05] GET /api/my-stats HTTP/1.1
[17:25:13] PATCH /api/supporter/65590/touch HTTP/1.1
[20:12:48] GET /api/my-stats HTTP/1.1
[21:29:09] GET /api/my-stats HTTP/1.1
[22:06:21] GET /api/my-stats HTTP/1.1
[22:06:36] POST /api/auth/login HTTP/1.1
[22:06:37] GET /api/my-stats HTTP/1.1
[22:06:42] GET /api/search?q=64&limit=25&offset=0 HTTP/1.1
[22:06:47] PATCH /api/supporter/1014/touch HTTP/1.1
[22:07:06] GET /api/auth/me HTTP/1.1
[22:07:06] GET /api/admin/users HTTP/1.1
[22:07:06] GET /api/admin/today HTTP/1.1
[22:07:06] GET /api/admin/daily-activity HTTP/1.1
[22:07:06] GET /api/admin/canvasser-stats?start=2026-07-05&end=2026-07-05 HTTP/1.1
[22:07:06] GET /api/admin/team HTTP/1.1
[01:05:41] GET /api/auth/me HTTP/1.1
[01:05:41] GET /api/admin/users HTTP/1.1
[01:05:41] GET /api/admin/today HTTP/1.1
[01:05:41] GET /api/admin/canvasser-stats?start=2026-07-06&end=2026-07-06 HTTP/1.1
[01:05:41] GET /api/admin/team HTTP/1.1
